TimeStep,CellId,Center_X,Center_Y,Major_axis,label,parent,daughter1,daughter2,checked,InstantaneousGrowthRate,InstantaneousVelocity
1,1,124.549461364746,111.780876159668,30.973072052002,1,0,3,4,True,0.0,-1.914
1,2,213.014541625977,130.363555908203,30.0603504180908,2,0,5,6,True,0.003,-1.264
2,1,123.33487701416,108.827079772949,30.998176574707,1,0,3,4,True,0.017,-4.068
2,2,212.769943237305,127.105270385742,30.2922248840332,2,0,5,6,True,0.024,-2.791
3,1,123.439178466797,99.2344360351562,32.5434684753418,1,0,3,4,True,0.01,-1.618
3,2,213.48063659668,117.451461791992,32.4755020141602,2,0,5,6,True,0.009,-1.514
4,1,122.851661682129,96.0682373046875,33.4765205383301,1,0,3,4,True,0.033,-2.919
4,2,212.505340576172,114.492767333984,33.2598037719727,2,0,5,6,True,0.028,-2.515
5,1,121.415267944336,90.7384643554688,36.4471206665039,1,0,3,4,True,0.007,-0.013
5,2,211.101821899414,109.070137023926,35.7776336669922,2,0,5,6,True,0.01,0.06
6,1,121.44310760498,90.6686859130859,37.1025123596191,1,0,3,4,True,0.043,-1.722
6,2,211.100738525391,109.268699645996,36.6947479248047,2,0,5,6,True,0.03,-1.69
7,1,121.188842773438,86.6393356323242,40.9852447509766,1,0,3,4,True,0.002,-0.258
7,2,210.083221435547,105.68529510498,39.4379806518555,2,0,5,6,True,0.005,0.126
8,1,121.452095031738,85.598991394043,41.1831703186035,1,0,3,4,True,0.041,-0.668
8,2,210.806854248047,104.658966064453,39.905345916748,2,0,5,6,True,0.036,-0.516
9,1,120.887145996094,84.6592254638672,44.8651275634766,1,0,3,4,True,0.015,-0.893
9,2,210.336563110352,103.863975524902,43.1707496643066,2,0,5,6,True,0.021,-0.304
10,1,120.267189025879,83.205924987793,46.2267951965332,1,0,3,4,True,0.051,-1.987
10,2,210.540939331055,102.41007232666,45.0413780212402,2,0,5,6,True,0.031,-1.134
11,1,120.064933776855,78.1589431762695,50.8416213989258,1,0,3,4,True,0.016,-1.438
11,2,210.998123168945,97.4763259887695,47.8741226196289,2,0,5,6,True,0.026,-1.063
12,1,118.227951049805,77.0267486572266,52.2911758422852,1,0,3,4,True,0.056,-1.434
12,2,209.641830444336,96.6099014282227,50.2138824462891,2,0,5,6,True,0.055,-1.017
13,1,117.270660400391,74.5394897460938,57.368766784668,1,0,3,4,True,0.011,0.498
13,2,208.848297119141,94.6776809692383,55.1565132141113,2,0,5,6,True,0.027,0.202
14,1,116.918014526367,76.465446472168,58.333080291748,1,0,3,4,True,0.049,-0.24
14,2,208.23454284668,96.7422714233398,57.5826416015625,2,0,5,6,True,0.069,-1.075
15,1,116.79948425293,75.9869079589844,62.7782592773438,1,0,3,4,True,0.054,-1.042
15,2,206.02619934082,97.6530532836914,63.797306060791,2,0,5,6,True,0.074,-0.746
16,1,113.109588623047,78.6721878051758,67.6070709228516,1,0,3,4,True,,
16,2,202.85237121582,101.609497070312,70.4245147705078,2,0,5,6,True,0.001,-1.267
17,4,96.250358581543,78.6890258789062,40.0209884643555,1,1,8,7,True,-0.005,-0.35
17,3,132.124084472656,74.6271209716797,33.5616188049316,1,1,25,26,True,0.078,-1.895
17,2,201.028381347656,101.006736755371,70.4953079223633,2,0,5,6,True,0.041,-0.88
18,4,95.4543914794922,78.8299560546875,39.5355033874512,1,1,8,7,True,0.04,1.519
18,3,128.776580810547,74.7533264160156,40.621509552002,1,1,25,26,True,0.051,-1.43
18,2,199.062393188477,101.964782714844,74.1809005737305,2,0,5,6,True,0.047,-0.405
19,4,96.9458541870117,80.6004867553711,43.144775390625,1,1,8,7,True,-0.004,-1.486
19,3,125.768173217773,75.6271514892578,45.2490539550781,1,1,25,26,True,0.036,-1.654
19,2,197.424163818359,103.802932739258,78.3987121582031,2,0,5,6,True,,
20,4,95.2651443481445,79.1363677978516,42.8191452026367,1,1,8,7,True,,
20,3,123.978126525879,73.7872467041016,48.5310173034668,1,1,25,26,True,0.037,-0.858
20,6,181.218200683594,110.797637939453,49.7794189453125,2,2,9,10,True,-0.004,0.393
20,5,214.5927734375,90.7439804077148,38.0063056945801,2,2,11,12,True,0.081,-0.029
21,8,89.1051254272461,80.5708694458008,30.0222148895264,1,4,21,22,True,0.008,0.392
21,7,110.69083404541,86.9613800048828,16.0711441040039,1,4,24,23,True,0.057,3.77
21,3,120.95922088623,76.2516326904297,51.8918533325195,1,1,25,26,True,0.053,-0.927
21,6,179.936157226562,113.973213195801,49.4317092895508,2,2,9,10,True,0.023,0.637
21,5,213.530364990234,93.1085662841797,45.3181343078613,2,2,11,12,True,0.046,-0.985
22,8,87.7932205200195,82.8567886352539,30.722339630127,1,4,21,22,True,0.006,-1.493
22,7,116.137825012207,89.168098449707,21.1973285675049,1,4,24,23,True,0.009,0.243
22,3,118.119537353516,78.0864791870117,56.6671714782715,1,1,25,26,True,0.04,-1.593
22,6,180.191696166992,115.350776672363,51.5232849121094,2,2,9,10,True,0.038,-0.754
22,5,210.800476074219,95.6090240478516,49.4976387023926,2,2,11,12,True,0.011,-1.612
23,8,86.2337265014648,81.2453536987305,31.2942276000977,1,4,21,22,True,0.034,-1.205
23,7,117.900672912598,87.436767578125,21.9764289855957,1,4,24,23,True,-0.014,-1.447
23,3,116.25984954834,76.5669097900391,60.3109550476074,1,1,25,26,True,0.028,-0.168
23,6,179.638153076172,114.116569519043,54.9871520996094,2,2,9,10,True,-0.029,-0.865
23,5,208.670547485352,94.4514312744141,50.523754119873,2,2,11,12,True,0.013,-0.959
24,8,84.3538513183594,80.5995712280273,34.3296318054199,1,4,21,22,True,0.035,-0.986
24,7,115.856788635254,86.5473861694336,20.7534713745117,1,4,24,23,True,0.03,-0.335
24,3,116.196983337402,76.2027740478516,62.7905807495117,1,1,25,26,True,0.002,-0.858
24,6,177.642120361328,114.827293395996,52.3444519042969,2,2,9,10,True,,
24,5,207.027618408203,94.5881271362305,51.6898956298828,2,2,11,12,True,-0.005,-1.503
25,8,82.5259017944336,80.3646850585938,37.522834777832,1,4,21,22,True,0.076,-1.61
25,7,114.916625976562,86.9615097045898,23.432222366333,1,4,24,23,True,0.01,0.484
25,3,114.744773864746,76.0663528442383,62.9943237304688,1,1,25,26,True,0.017,-0.013
25,10,172.792007446289,116.477516174316,45.2824783325195,2,6,13,14,True,0.027,0.826
25,9,199.609878540039,105.810424804688,12.4528169631958,2,6,0,0,False,,
25,5,204.395889282227,94.9140090942383,51.2010040283203,2,2,11,12,True,,
26,8,79.1825637817383,80.3020935058594,44.3899459838867,1,4,21,22,True,0.028,-0.727
26,7,114.16919708252,89.1252288818359,24.296314239502,1,4,24,23,True,0.015,-0.458
26,3,113.512901306152,77.8591995239258,64.5473251342773,1,1,25,26,True,0.035,-1.28
26,10,172.838516235352,118.613273620605,47.6934700012207,2,6,13,14,True,0.011,-0.563
26,12,215.687347412109,93.9961471557617,28.7465190887451,2,5,27,28,True,0.006,-0.183
26,11,188.294860839844,100.898155212402,25.7024116516113,2,5,17,18,True,-0.008,-0.126
27,8,79.4519653320312,78.4912872314453,46.8948745727539,1,4,21,22,True,-0.007,-0.942
27,7,114.662963867188,87.3607177734375,25.6577491760254,1,4,24,23,True,0.038,0.583
27,3,112.504547119141,75.927001953125,67.7226867675781,1,1,25,26,True,-0.003,-0.84
27,10,172.845794677734,117.102478027344,48.6991195678711,2,6,13,14,True,0.058,0.366
27,12,216.126235961914,92.2863235473633,29.302074432373,2,5,27,28,True,0.022,-0.593
27,11,189.082321166992,99.007209777832,24.9581050872803,2,5,17,18,True,-0.026,-1.452
28,8,78.4112854003906,77.5350952148438,46.2203102111816,1,4,21,22,True,0.029,0.087
28,7,115.842994689941,87.2505264282227,29.0715637207031,1,4,24,23,True,0.015,0.984
28,3,111.101112365723,75.7516098022461,67.492546081543,1,1,25,26,True,-0.011,0.25
28,10,174.261337280273,115.979385375977,53.8757934570312,2,6,13,14,True,,
28,12,214.758590698242,93.2136840820312,31.3020725250244,2,5,27,28,True,0.011,0.139
28,11,186.935012817383,98.4119186401367,22.5796585083008,2,5,17,18,True,0.113,1.997
29,8,78.1466674804688,77.9874038696289,48.8196144104004,1,4,21,22,True,0.049,-0.556
29,7,116.883773803711,88.3206939697266,30.3999729156494,1,4,24,23,True,0.033,1.262
29,3,110.768539428711,76.8954620361328,66.5296325683594,1,1,25,26,True,0.03,0.225
29,14,165.557479858398,123.900451660156,29.6351737976074,2,10,16,15,True,,
29,13,186.607574462891,109.382797241211,27.4268760681152,2,10,0,0,False,-0.017,-0.305
29,12,214.039352416992,95.3668365478516,32.2805480957031,2,5,27,28,True,0.032,0.82
29,11,190.381164550781,98.2825546264648,32.7288551330566,2,5,17,18,True,,
30,8,75.9651260375977,78.9610824584961,53.2424545288086,1,4,21,22,True,0.076,-1.568
30,7,117.278198242188,90.9193115234375,33.3396186828613,1,4,24,23,True,0.036,0.469
30,3,109.504600524902,79.2626647949219,69.1994094848633,1,1,25,26,True,-0.009,-0.472
30,16,162.643295288086,127.950546264648,21.7750129699707,2,14,19,20,True,0.05,1.22
30,15,171.834625244141,120.318565368652,8.54153251647949,2,14,0,0,False,,
30,13,183.729721069336,113.282241821289,25.9298305511475,2,10,0,0,False,-0.045,0.645
30,12,214.019897460938,98.3930892944336,35.2022361755371,2,5,27,28,True,0.042,-0.174
30,18,180.5908203125,106.11693572998,12.169075012207,2,11,0,0,False,,
30,17,194.897155761719,98.2369155883789,16.5695896148682,2,11,0,0,False,,
31,8,73.8359985351562,77.7416381835938,60.0586242675781,1,4,21,22,True,0.001,-0.514
31,7,117.514511108398,91.761833190918,36.5878295898438,1,4,24,23,True,-0.011,0.325
31,3,108.189643859863,79.8630218505859,68.3457260131836,1,1,25,26,True,0.003,-0.461
31,16,164.007278442383,129.177581787109,26.2547626495361,2,14,19,20,True,,
31,13,184.486206054688,113.899627685547,21.8502330780029,2,10,0,0,False,-0.065,-0.502
31,12,213.067123413086,99.8255844116211,39.0195541381836,2,5,27,28,True,-0.013,-1.843
32,8,73.7818069458008,76.7263107299805,60.1299209594727,1,4,21,22,True,0.044,-0.677
32,7,118.836090087891,90.8495101928711,35.6082496643066,1,4,24,23,True,0.014,0.493
32,3,107.829383850098,79.1847763061523,68.6567459106445,1,1,25,26,True,-0.008,-0.712
32,20,153.545608520508,128.268356323242,11.4197540283203,2,16,0,0,False,,
32,19,160.421646118164,123.225379943848,18.6946086883545,2,16,0,0,False,,
32,13,185.816329956055,110.246925354004,16.0295066833496,2,10,0,0,False,0.129,-5.224
32,12,210.697235107422,98.3667831420898,37.8775978088379,2,5,27,28,True,-0.01,0.049
33,8,72.3157424926758,76.7199630737305,64.0742111206055,1,4,21,22,True,,
33,7,118.942092895508,91.9245834350586,36.8306427001953,1,4,24,23,True,,
33,3,105.863243103027,80.0357437133789,67.9225463867188,1,1,25,26,True,0.014,0.65
33,13,176.516693115234,110.451629638672,27.6526527404785,2,10,0,0,False,-0.042,0.874
33,12,211.36572265625,97.0983581542969,36.9616775512695,2,5,27,28,True,-0.01,-0.305
34,22,52.2960777282715,61.7269515991211,15.5348634719849,1,8,0,0,False,,
34,21,78.7825698852539,82.216194152832,47.6748657226562,1,8,29,30,True,0.01,-0.336
34,24,130.971298217773,91.0178756713867,12.0945987701416,1,7,0,0,False,0.0,0.0
34,23,113.383415222168,93.2325592041016,25.3489665985107,1,7,33,34,True,0.011,0.029
34,3,106.252258300781,81.1343307495117,69.1747741699219,1,1,25,26,True,-0.008,-0.235
34,13,178.224761962891,110.186988830566,23.8395233154297,2,10,0,0,False,0.021,0.095
34,12,210.141693115234,98.6490859985352,36.1026229858398,2,5,27,28,True,-0.033,-0.94
35,21,78.1185760498047,82.1538314819336,48.5605545043945,1,8,29,30,True,0.018,-1.715
35,24,130.971298217773,91.0178756713867,12.0945987701416,1,7,0,0,False,0.0,0.0
35,23,113.226638793945,93.4918365478516,26.3662757873535,1,7,33,34,True,-0.017,-1.771
35,3,105.745910644531,81.2162170410156,68.4853820800781,1,1,25,26,True,,
35,13,178.317260742188,110.307334899902,25.7484092712402,2,10,0,0,False,0.009,0.322
35,12,207.875396728516,100.131462097168,33.1685409545898,2,5,27,28,True,,
36,21,76.3085784912109,80.3251800537109,50.1503219604492,1,8,29,30,True,,
36,24,130.971298217773,91.0178756713867,12.0945987701416,1,7,0,0,False,0.0,0.0
36,23,110.858879089355,92.1860275268555,24.8248233795166,1,7,33,34,True,-0.038,-0.746
36,26,123.31436920166,83.8884963989258,34.1070556640625,1,3,0,0,False,0.012,0.295
36,25,87.4029998779297,75.7910308837891,38.2154083251953,1,3,0,0,False,0.034,-1.266
36,13,179.341049194336,109.563522338867,26.562816619873,2,10,0,0,False,0.019,0.227
36,28,215.36506652832,86.4338455200195,11.4624443054199,2,12,0,0,False,,
36,27,202.849700927734,96.8524398803711,23.7586822509766,2,12,35,36,True,-0.009,-0.671
37,30,91.161735534668,90.7147827148438,22.4632530212402,1,21,37,38,True,0.042,-0.246
37,29,69.051025390625,75.1056594848633,32.0718650817871,1,21,32,31,True,,
37,24,130.971298217773,91.0178756713867,12.0945987701416,1,7,0,0,False,0.0,0.0
37,23,109.932258605957,91.5506973266602,21.448112487793,1,7,33,34,True,,
37,26,123.806709289551,83.9515686035156,35.1606063842773,1,3,0,0,False,0.005,-1.248
37,25,85.9151153564453,74.607780456543,41.2770462036133,1,3,0,0,False,0.022,-4.542
37,13,180.355178833008,108.546417236328,28.2960186004639,2,10,0,0,False,0.046,-0.837
37,27,202.489471435547,95.2612457275391,22.9868965148926,2,12,35,36,True,,
38,30,92.6904144287109,88.6198959350586,26.2021102905273,1,21,37,38,True,,
38,32,,,,1,29,0,0,False,,
38,31,68.3044967651367,72.4904479980469,24.2337455749512,1,29,0,0,False,0.058,2.629
38,24,130.971298217773,91.0178756713867,12.0945987701416,1,7,0,0,False,0.0,0.0
38,34,107.022392272949,88.8883819580078,20.1893558502197,1,23,0,0,False,,
38,33,117.074768066406,91.472541809082,6.05101871490479,1,23,0,0,False,,
38,26,123.343635559082,81.2763977050781,35.6286354064941,1,3,0,0,False,0.032,-1.952
38,25,81.8597259521484,68.8658828735352,43.2700881958008,1,3,0,0,False,-0.001,-2.472
38,13,181.291885375977,104.483757019043,32.4615478515625,2,10,0,0,False,0.016,-0.362
38,36,197.153396606445,91.140739440918,7.67937469482422,2,27,0,0,False,,
38,35,203.844818115234,90.4323425292969,22.6573333740234,2,27,0,0,False,-0.027,1.274
39,38,96.2158889770508,92.8613739013672,12.455265045166,1,30,0,0,False,,
39,37,83.1586837768555,86.378791809082,10.3496465682983,1,30,0,0,False,,
39,32,,,,1,29,0,0,False,,
39,31,71.0698471069336,75.3038635253906,29.4793033599854,1,29,0,0,False,,
39,24,130.971298217773,91.0178756713867,12.0945987701416,1,7,0,0,False,,
39,26,119.886245727539,81.1807174682617,38.5451736450195,1,3,0,0,False,,
39,25,78.9084625244141,66.613151550293,43.1834754943848,1,3,0,0,False,,
39,13,181.120971679688,103.689956665039,33.875244140625,2,10,0,0,False,,
39,35,206.851776123047,88.3114013671875,20.2356281280518,2,27,0,0,False,,
